[INFO]: 2023-04-24 09:39:48 - Index: articles is not exist, create a new one...

[INFO]: 2023-04-24 09:39:48 - Index: schedules is not exist, create a new one...

[INFO]: 2023-04-24 09:39:48 - Index: match_detail is not exist, create a new one...

[INFO]: 2023-04-24 09:39:48 - This is first time you run this project ? Please wait sometime to add seed data. It's gonna be a longtime
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:48 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - [201 Created] Indexed document with index: schedules 

[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - [201 Created] Indexed document with index: schedules 

[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - [201 Created] Indexed document with index: schedules 

[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - [201 Created] Indexed document with index: schedules 

[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
[INFO]: 2023-04-24 09:39:49 - Document not found in index schedules, creating new one...
